X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL_,LATITUDE,LONGITUDE
591529.3093,4789956.8441,681,Summer's Lane - Secure Bike Parking,80 Summer's Lane,Secure,1,Other,16,Yes,Yes,2,Yes,,
591429.0657,4790237.3388,682,Government of Canada - Secure Bike Parking,55 Bay Street,Private,1,Other,20,Yes,Yes,2,Yes,,
591549.8865,4788978.2219,683,St. Joseph's Hospital - For St. Joe's Employees ONLY,50 Charlton Avenue East,Private,1,Other,12,Yes,Yes,2,Yes,,
593045.1562,4790521.1495,684,Hamilton General Hospital -Secure Bike Parking,237 Barton Street East,Private,1,Other,30,Yes,Yes,3,Yes,,
593973.4909,4790527.8697,685,Hamilton Operations Centre - Secure Bike Parking,330 Wentworth Street,Municipal,1,Other,13,Yes,Yes,3,Yes,,
588045.9086,4787965.1112,686,HHS Chedoke - Secure Bike Parking Facility,555 Sanatorium Road,Private,1,Other,30,Yes,Yes,14,Yes,,
587935.0144,4790101.86,687,McMaster Hospital - Secure Bike Parking,1 Cootes Paradise,Private,1,Other,30,Yes,Yes,1,Yes,,
592565.5474,4791357.7147,688,St. Lawrence Catholic Elementary,88 Macaulay East,School,1,Multi-Ring,98,No,Yes,2,Yes,,
592426.6437,4791400.1684,689,North Hamilton Health Centre,438 Hughson Street,Private,1,Multi-Ring,12,No,Yes,2,Yes,,
592010.4378,4791813.28,690,Leander Boat Club,50 Leander Drive,Private,1,Multi-Ring,12,No,No,2,Yes,,
591138.9139,4784092.368,691,St. Marguerite d'Youville Elementary School,20 Bonaparte Way,School,1,Multi-Ring,18,No,Yes,7,Yes,,
590494.0933,4784636.9048,692,Walker Pool,60 Dicenzo Drive,,1,Multi-Ring,12,No,Yes,8,Yes,,
589549.3886,4785541.0102,693,James MacDonald Elementary School,200 Chester Avenue,School,2,Multi-Ring,22,No,Yes,8,Yes,,
589492.2194,4785775.7444,694,Gourley Park ,,Park,1,Multi-Ring,12,No,Yes,8,Yes,,
587719.8232,4786191.1113,695,Gordon Price Elementary School,11 Guildwood Drive,School,3,Multi-Ring,30,No,Yes,14,Yes,,
587640.2385,4787923.7701,696,Chedoke Twin Pad Arena,91 Chedmac Drive ,,2,Multi-Ring,16,Yes,Yes,14,Yes,,
587202.9096,4788170.4376,697,Mountview Elementary School,59 Karen Crescent,School,3,Multi-Ring,30,No,Yes,14,Yes,,
592092.7911,4790738.0176,698,The Barton General,10 Barton Street East,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,,
591193.2327,4790151.7853,699,Tim Hortons,235 King Street West Hamilton,ROW,1,Hammer Hoop,4,No,Yes,2,Yes,,
591051.4131,4790219.594,700,Ark and Anchor Cafe,300 King Street West,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,,
593389.0836,4789466.4011,701,King Street Outreach / Carlton Tavern,649-657 King Street East,ROW,1,Hammer Hoop,6,No,Yes,3,Yes,,
594013.5498,4789387.3085,702,Limin Coconut / Laundromat,829.5 King Street East,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,,
588795.9777,4790502.492,703,,1020 King Street West - Westdale,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
589781.8315,4798480.8858,704,Waterdown Memorial Hall,315 Dundas Street East,ROW,1,Hammer Hoop,4,No,Yes,15,Yes,,
593469.0746,4788124.9993,705,Colosseum Apartments,620 Concession Street,ROW,1,Hammer Hoop,2,No,Yes,7,Yes,,
590352.1351,4789563.9648,706,St. John the Evangelist Anglican Church,320 Charlton Ave,ROW,2,Hammer Hoop,4,No,Yes,1,Yes,,
592726.7313,4790136.8903,707,Former Wellington Arms,222 Cannon Street East,,1,Hammer Hoop,4,No,Yes,2,Yes,,
593096.9008,4791521.4576,708,Collective Arts Brewery,207 Burlington Street East,ROW,1,Hammer Hoop,10,No,Yes,2,Yes,,
593054.0739,4791534.903,709,Collective Arts Brewery,207 Burlington Street East,,1,Hammer Hoop,2,No,Yes,2,Yes,,
596728.1288,4788176.7082,710,Ward 4 Cafe,1441 Main Street East,ROW,1,Hammer Hoop,4,,,4,Yes,,
590464.2981,4789846.4113,711,Vintage Charm,162 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
591967.7907,4790520.8507,712,The Brain,199 James St,ROW,1,Hammer Hoop,2,,Yes,2,Yes,,
598026.9659,4788631.3821,713,My 2 Uncles,112 Melvin Ave,ROW,1,Hammer Hoop,2,No,Yes,4,Yes,,
590428.8265,4789724.8796,714,Condo Culture,196 Locke St,ROW,1,Hammer Hoop,2,No,Yes,1,Yes,,
588695.5799,4788609.2138,715,Top of Chedoke Stairs,Site Visit Required ,Municipal,3,Hammer Hoop,6,No,Yes,14,Yes,,
599265.4681,4789041.7296,716,Pioneer Gas Station,545 Woodward Avenue,Private,1,Advertising Rack,4,No,Yes,4,Yes,,
